代码,名称
510360,沪深300ETF基金
512360,平安MSCI国际ETF
159821,BOCI创业板ETF
512600,必选消费ETF
516320,高端装备ETF
560500,中证500成长ETF
159863,光伏ETF基金
588150,科创龙头ETF
159998,计算机ETF
512550,A50ETF基金
515760,浙江国资ETF
159610,500ETF增强
512330,信息科技ETF
515510,500成长ETF
516680,有色ETF基金
515280,银行龙头ETF
159835,创新药50ETF
516620,影视ETF
159907,中小300ETF
510220,中小盘ETF
159710,智能电车ETF
159986,消费100ETF
515320,电子50ETF
517350,中概科技ETF
513770,港股互联网ETF
561310,消电ETF
517770,游戏传媒ETF
512640,金融地产ETF基金
516920,芯片ETF基金
159909,TMT50ETF
159836,创300ETF
159814,创业大盘ETF
159973,民企领先100ETF
159902,中小100ETF
510440,500沪市ETF
159906,深成长龙头ETF
515110,一带一路国企ETF
515100,红利100ETF
159732,消费电子ETF
159804,创中盘88ETF
513530,港股通红利ETF
560100,中证500增强ETF
510030,价值ETF
512780,京津冀ETF
510290,上证380ETF
159944,材料ETF
159910,基本面120ETF
159709,物联网ETF工银
159912,深300ETF
159721,深创龙头ETF
159918,中创400ETF
516200,证券行业ETF
159747,香港科技ETF
159892,恒生生物科技ETF
159823,H股ETF基金
159711,港股通ETF
513680,恒生国企ETF
159780,双创ETF
515020,银行ETF华夏
159736,饮食ETF
515660,国联安沪深300ETF
159715,稀土ETF易方达
516300,1000ETF基金
562880,电池ETF基金
159925,沪深300ETF南方
159919,沪深300ETF
588050,科创ETF
159615,生物科技ETF港股
512500,500ETF基金
513980,港股科技50ETF
159617,500价值ETF
515380,泰康沪深300ETF
159742,恒生科技指数ETF
561350,国泰中证500ETF
511060,5年地方债ETF
159875,新能源ETF
513160,港股科技30ETF
510390,平安沪深300ETF
588330,双创龙头ETF
513860,港股通科技ETF
510850,工银上证50ETF
588260,科创信息ETF
588360,科创创业ETF
512970,大湾区ETF
510760,上证综指ETF
513700,香港医药ETF
516730,证券公司ETF
560990,中金科技先锋ETF
515750,科技50ETF
159761,新材料50ETF
517850,张江ETF
159850,恒生国企ETF
515900,央创ETF
159889,智能汽车ETF
588390,科创创业50ETF
560560,泰康碳中和ETF
515330,300ETF天弘
159968,中证500ETF博时
516080,创新药ETF易方达
513150,港股通科技50ETF
159954,H股ETF
512160,MSCI中国A股ETF
516720,ESGETF
159831,上海金ETF基金
159798,消费50ETF
512820,银行业ETF
159972,5年地债ETF
560650,核心50ETF
517280,网购ETF
159730,龙头家电ETF
515770,上投摩根MSCIAETF
562300,碳中和ETF基金
159748,沪港深创新药ETF
159848,证券ETF基金
159871,有色金属ETF
159720,智能电动车ETF
159948,创业板ETF南方
515130,沪深300ETF博时
512380,MSCI中国ETF
515780,浦银MSCI中国ETF
512510,中证500指数ETF
159858,创新药指ETF
515920,智能消费ETF
516580,新能源主题ETF
513380,恒生科技基金ETF
510990,180ESGETF
516830,300ESGETF
561100,消费电子龙头ETF
515530,泰康中证500ETF
159712,港股通50ETF
159797,医疗器械ETF基金
159738,沪港深云计算ETF
515350,民生加银300ETF
159908,创业板ETF博时
512730,中证银行ETF
159873,医疗设备ETF
512990,MSCIA股ETF
159975,深100ETF招商
516210,银行股ETF
515150,一带一路ETF
159862,食品ETF
517080,沪港深500ETF基金
159895,物联网50ETF
159896,物联网龙头ETF
159718,港股医药ETF
517660,物联网沪港深ETF
159820,中证500ETF天弘
515160,MSCI中国招商ETF
510650,金融地产ETF
515070,人工智能AIETF
159838,医药ETF基金
517050,互联网50ETF
562950,消费电子50ETF
517390,云计算沪港深ETF
510590,平安中证500ETF
511030,公司债ETF
516930,生物科技ETF基金
516060,创新药产业ETF
159890,云计算ETF
516850,新能源80ETF
159876,有色龙头ETF
159751,港股科技ETF
510600,申万上证50ETF
159706,深证100ETF华安
510810,上海国企ETF
515810,中证800ETF
159987,科技创新ETF
159849,生物科技ETF招商
515870,先进制造ETF
159816,0-4地债ETF
516380,智能电动车ETF
516530,物流快递ETF
516710,新材料50ETF
561500,漂亮50ETF
159773,创科技ETF
159810,浦银创业板ETF
512280,景顺MSCIA股ETF
515980,人工智能ETF
159898,医疗器械ETF招商
560000,智慧电车ETF
159723,科技龙头ETF
516890,新材料ETF平安
561900,沪深300ESGETF
517090,共赢ETF
510530,工银中证500ETF
159958,创业板ETF工银
515090,可持续发展ETF
560900,创新药企ETF
159822,新经济ETF
516600,消费服务ETF
517000,沪港深500ETF
517960,科技AHETF
517760,消费TOPETF
515360,方正沪深300ETF
512520,MSCIETF
159969,深100ETF银华
513880,日经225ETF
159974,央企创新ETF
515860,科技ETF基金
159976,湾创ETF
159853,科技100ETF
510200,上证券商ETF
513080,法国CAC40ETF
513990,港股通ETF
516630,云计算50ETF
517200,互联网ETF
159891,医疗ETF基金
517270,沪港深科技TOPETF
159731,石化ETF
159791,300ESGETF
159833,上海金基金ETF
517990,医药ETF沪港深
159957,创业板ETF华夏
512180,MSCIA股ETF基金
159808,创业板ETF融通
512650,长三角ETF
515820,A800ETF
159970,深100ETF工银
516000,大数据50ETF
517100,AH500ETF
159899,软件基金ETF
513230,港股消费ETF
159716,深创100ETF
561600,消费电子ETF
159779,消费电子ETF基金
159743,湖北ETF
517550,消费ETF沪港深
515310,沪深300添富ETF
512610,医药卫生ETF基金
159959,央企ETF
510680,上证50ETF基金
159965,央视50ETF
159943,深证成指ETF
159931,金融ETF
510020,超大盘ETF
159971,创业板ETF富国
159702,AIETF
513800,东京证券指数ETF
515300,红利低波ETF基金
516700,大数据产业ETF
159729,互联网ETF
517170,沪港深ETF
516260,物联网50ETF
159701,物联网ETF招商
159763,新材料ETF基金
513590,香港消费ETF
517360,沪港深科技ETF
560600,医药创新ETF
517800,人工智能50ETF
516190,文娱传媒ETF
517160,长江保护主题ETF
517330,长江保护ETF
159728,在线消费ETF
159778,工业互联ETF
510120,非周期ETF
510380,国寿300ETF
515930,永赢沪深300ETF
510370,兴业沪深300ETF
512920,MSCIETF新华
159962,四川ETF
510110,周期ETF
510550,方正中证500ETF
159935,景顺中证500ETF
510560,国寿500ETF
515550,中融中证500ETF
515190,中银证券500ETF
510570,兴业中证500ETF
159999,永赢中证500ETF
510010,180治理ETF
512960,央调ETF
159960,H股ETF港股通
159955,创业板ETF嘉实
159956,创业板ETF建信
159951,中关村ETF
159961,深100ETF方正富邦
159916,深F60ETF
510130,中盘ETF
511310,10年国债ETF
512870,杭州湾区ETF
159923,中证100ETF
515670,中银中证100ETF
159932,中证500深ETF
510090,ESGETF基金
512390,平安MSCI低波ETF
159964,平安创业板ETF
159913,深价值ETF
510270,国企ETF
510190,上证龙头ETF
510060,央企ETF
159933,国投金融地产ETF
512930,AIETF
512190,浙商之江凤凰ETF
512530,沪深300红利ETF
515610,中银中证800ETF
515600,央企创新ETF
515520,MSCI价值100ETF
159979,湾创100ETF
159984,湾区100ETF
515990,国企一带一路ETF
517780,红300ETF
159978,大湾区ETF
512320,工银MSCI中国ETF
159815,浙江100ETF
517010,沪港深500ETF指数
588310,双创ETF基金
510770,G60创新ETF
159717,ESGETF
159719,开放共赢ETF
159793,线上消费ETF平安
基金代码	基金扩位简称	基金管理人	一级交易商名单
510010	180治理ETF	交银施罗德基金管理有限公司	
510020	超大盘ETF	博时基金管理有限公司	
510030	价值ETF	华宝基金管理有限公司	
510050	上证50ETF	华夏基金管理有限公司	
510060	央企ETF	工银瑞信基金管理有限公司	
510090	ESGETF基金	建信基金管理有限责任公司	
510100	上证50ETF易方达	易方达基金管理有限公司	
510110	周期ETF	海富通基金管理有限公司	
510120	非周期ETF	海富通基金管理有限公司	
510130	中盘ETF	易方达基金管理有限公司	
510150	消费ETF	招商基金管理有限公司	
510160	产业升级ETF	南方基金管理股份有限公司	
510170	大宗商品ETF	国联安基金管理有限公司	
510180	上证180ETF	华安基金管理有限公司	
510190	上证龙头ETF	华安基金管理有限公司	
510200	上证券商ETF	汇安基金管理有限责任公司	
510210	上证指数ETF	富国基金管理有限公司	
510220	中小盘ETF	华泰柏瑞基金管理有限公司	
510230	金融ETF	国泰基金管理有限公司	
510270	国企ETF	中银基金管理有限公司	
510290	上证380ETF	南方基金管理股份有限公司	
510410	资源ETF	博时基金管理有限公司	
510440	500沪市ETF	大成基金管理有限公司	
510600	申万上证50ETF	申万菱信基金管理有限公司	
510630	消费30ETF	华夏基金管理有限公司	
510650	金融地产ETF	华夏基金管理有限公司	
510660	医药卫生ETF	华夏基金管理有限公司	
510680	上证50ETF基金	万家基金管理有限公司	
510710	上证50ETF博时	博时基金管理有限公司	
510760	上证综指ETF	国泰基金管理有限公司	
510770	G60创新ETF	申万菱信基金管理有限公司	
510800	50ETF基金	建信基金管理有限责任公司	
510810	上海国企ETF	汇添富基金管理股份有限公司	
510850	工银上证50ETF	工银瑞信基金管理有限公司	
510880	红利ETF	华泰柏瑞基金管理有限公司	
510990	180ESGETF	工银瑞信基金管理有限公司	
510300	沪深300ETF	华泰柏瑞基金管理有限公司	
510310	沪深300ETF易方达	易方达基金管理有限公司	
510330	300ETF基金	华夏基金管理有限公司	
510350	工银沪深300ETF	工银瑞信基金管理有限公司	
510360	沪深300ETF基金	广发基金管理有限公司	
510370	兴业沪深300ETF	兴业基金管理有限公司	
510380	国寿300ETF	国寿安保基金管理有限公司	
510390	平安沪深300ETF	平安基金管理有限公司	
510500	中证500ETF	南方基金管理股份有限公司	
510510	中证500ETF基金	广发基金管理有限公司	
510530	工银中证500ETF	工银瑞信基金管理有限公司	
510550	方正中证500ETF	方正富邦基金管理有限公司	
510560	国寿500ETF	国寿安保基金管理有限公司	
510570	兴业中证500ETF	兴业基金管理有限公司	
510580	中证500ETF易方达	易方达基金管理有限公司	
510590	平安中证500ETF	平安基金管理有限公司	
512000	券商ETF	华宝基金管理有限公司	
512010	医药ETF	易方达基金管理有限公司	
512040	价值100ETF	富国基金管理有限公司	
512070	证券保险ETF	易方达基金管理有限公司	
512090	MSCIA股ETF易方达	易方达基金管理有限公司	
512100	中证1000ETF	南方基金管理股份有限公司	
512120	医药50ETF	华安基金管理有限公司	
512150	A50ETF	汇安基金管理有限责任公司	
512160	MSCI中国A股ETF	南方基金管理股份有限公司	
512170	医疗ETF	华宝基金管理有限公司	
512180	MSCIA股ETF基金	建信基金管理有限责任公司	
512190	浙商之江凤凰ETF	浙江浙商证券资产管理有限公司	
512200	房地产ETF	南方基金管理股份有限公司	
512220	科技150ETF	景顺长城基金管理有限公司	
512260	中证500低波ETF	华安基金管理有限公司	
512280	景顺MSCIA股ETF	景顺长城基金管理有限公司	
512290	生物医药ETF	国泰基金管理有限公司	
512320	工银MSCI中国ETF	工银瑞信基金管理有限公司	
512330	信息科技ETF	南方基金管理股份有限公司	
512360	平安MSCI国际ETF	平安基金管理有限公司	
512380	MSCI中国ETF	银华基金管理股份有限公司	
512390	平安MSCI低波ETF	平安基金管理有限公司	
512400	有色金属ETF	南方基金管理股份有限公司	
512480	半导体ETF	国联安基金管理有限公司	
512500	500ETF基金	华夏基金管理有限公司	
512510	中证500指数ETF	华泰柏瑞基金管理有限公司	
512520	MSCIETF	华泰柏瑞基金管理有限公司	
512530	沪深300红利ETF	建信基金管理有限责任公司	
512550	A50ETF基金	嘉实基金管理有限公司	
512560	军工ETF易方达	易方达基金管理有限公司	
512570	证券ETF易方达	易方达基金管理有限公司	
512580	碳中和龙头ETF	广发基金管理有限公司	
512590	高股息ETF	浦银安盛基金管理有限公司	
512600	必选消费ETF	嘉实基金管理有限公司	
512610	医药卫生ETF基金	嘉实基金管理有限公司	
512640	金融地产ETF基金	嘉实基金管理有限公司	
512650	长三角ETF	汇添富基金管理股份有限公司	
512660	军工ETF	国泰基金管理有限公司	
512670	国防ETF	鹏华基金管理有限公司	
512680	军工ETF基金	广发基金管理有限公司	
512690	酒ETF	鹏华基金管理有限公司	
512700	银行ETF基金	南方基金管理股份有限公司	
512710	军工龙头ETF	富国基金管理有限公司	
512720	计算机ETF	国泰基金管理有限公司	
512730	中证银行ETF	鹏华基金管理有限公司	
512750	基本面50ETF	嘉实基金管理有限公司	
512760	芯片ETF	国泰基金管理有限公司	
512770	战略新兴ETF	华夏基金管理有限公司	
512780	京津冀ETF	广发基金管理有限公司	
512800	银行ETF	华宝基金管理有限公司	
512810	国防军工ETF	华宝基金管理有限公司	
512820	银行业ETF	汇添富基金管理股份有限公司	
512870	杭州湾区ETF	南华基金管理有限公司	
512880	证券ETF	国泰基金管理有限公司	
512890	红利低波ETF	华泰柏瑞基金管理有限公司	
512900	证券ETF基金	南方基金管理股份有限公司	
512910	中证100ETF	广发基金管理有限公司	
512920	MSCIETF新华	新华基金管理股份有限公司	
512930	AIETF	平安基金管理有限公司	
512950	央企改革ETF	华夏基金管理有限公司	
512960	央调ETF	博时基金管理有限公司	
512970	大湾区ETF	平安基金管理有限公司	
512980	传媒ETF	广发基金管理有限公司	
512990	MSCIA股ETF	华夏基金管理有限公司	
515000	科技ETF	华宝基金管理有限公司	
515010	券商ETF基金	华夏基金管理有限公司	
515020	银行ETF华夏	华夏基金管理有限公司	
515030	新能源车ETF	华夏基金管理有限公司	
515050	5GETF	华夏基金管理有限公司	
515060	房地产ETF基金	华夏基金管理有限公司	
515070	人工智能AIETF	华夏基金管理有限公司	
515080	中证红利ETF	招商基金管理有限公司	
515090	可持续发展ETF	博时基金管理有限公司	
515100	红利100ETF	景顺长城基金管理有限公司	
515110	一带一路国企ETF	易方达基金管理有限公司	
515120	创新药ETF	广发基金管理有限公司	
515130	沪深300ETF博时	博时基金管理有限公司	
515150	一带一路ETF	富国基金管理有限公司	
515160	MSCI中国招商ETF	招商基金管理有限公司	
515170	食品饮料ETF	华夏基金管理有限公司	
515180	红利ETF易方达	易方达基金管理有限公司	
515190	中银证券500ETF	中银国际证券股份有限公司	
515200	创新100ETF	申万菱信基金管理有限公司	
515210	钢铁ETF	国泰基金管理有限公司	
515220	煤炭ETF	国泰基金管理有限公司	
515230	软件ETF	国泰基金管理有限公司	
515250	智能汽车ETF	富国基金管理有限公司	
515260	电子ETF	华宝基金管理有限公司	
515280	银行龙头ETF	富国基金管理有限公司	
515290	银行ETF天弘	天弘基金管理有限公司	
515300	红利低波ETF基金	嘉实基金管理有限公司	
515310	沪深300添富ETF	汇添富基金管理股份有限公司	
515320	电子50ETF	华安基金管理有限公司	
515330	300ETF天弘	天弘基金管理有限公司	
515350	民生加银300ETF	民生加银基金管理有限公司	
515360	方正沪深300ETF	方正富邦基金管理有限公司	
515380	泰康沪深300ETF	泰康资产管理有限责任公司	
515390	华安沪深300ETF	华安基金管理有限公司	
515400	大数据ETF	富国基金管理有限公司	
515450	红利低波50ETF	南方基金管理股份有限公司	
515500	中证长三角领先	海富通基金管理有限公司	
515510	500成长ETF	嘉实基金管理有限公司	
515520	MSCI价值100ETF	大成基金管理有限公司	
515530	泰康中证500ETF	泰康资产管理有限责任公司	
515550	中融中证500ETF	中融基金管理有限公司	
515560	证券ETF建信	建信基金管理有限责任公司	
515570	山证红利ETF	山西证券股份有限公司	
515580	科技100ETF	华泰柏瑞基金管理有限公司	
515590	500等权ETF	前海开源基金管理有限公司	
515600	央企创新ETF	广发基金管理有限公司	
515610	中银中证800ETF	中银基金管理有限公司	
515630	保险证券ETF	鹏华基金管理有限公司	
515650	消费50ETF	富国基金管理有限公司	
515660	国联安沪深300ETF	国联安基金管理有限公司	
515670	中银中证100ETF	中银基金管理有限公司	
515680	嘉实央企创新ETF	嘉实基金管理有限公司	
515700	新能车ETF	平安基金管理有限公司	
515710	食品ETF	华宝基金管理有限公司	
515750	科技50ETF	富国基金管理有限公司	
515760	浙江国资ETF	华夏基金管理有限公司	
515770	上投摩根MSCIAETF	上投摩根基金管理有限公司	
515780	浦银MSCI中国ETF	浦银安盛基金管理有限公司	
515790	光伏ETF	华泰柏瑞基金管理有限公司	
515800	800ETF	汇添富基金管理股份有限公司	
515810	中证800ETF	易方达基金管理有限公司	
515820	A800ETF	富国基金管理有限公司	
515850	证券龙头ETF	富国基金管理有限公司	
515860	科技ETF基金	嘉实基金管理有限公司	
515870	先进制造ETF	嘉实基金管理有限公司	
515880	通信ETF	国泰基金管理有限公司	
515890	红利ETF博时	博时基金管理有限公司	
515900	央创ETF	博时基金管理有限公司	
515910	质量ETF	中金基金管理有限公司	
515920	智能消费ETF	博时基金管理有限公司	
515930	永赢沪深300ETF	永赢基金管理有限公司	
515950	医药龙头ETF	富国基金管理有限公司	
515960	医药健康ETF	嘉实基金管理有限公司	
515980	人工智能ETF	华富基金管理有限公司	
515990	国企一带一路ETF	汇添富基金管理股份有限公司	
516000	大数据50ETF	华夏基金管理有限公司	
516010	游戏ETF	国泰基金管理有限公司	
516020	化工ETF	华宝基金管理有限公司	
516050	科技龙头ETF	工银瑞信基金管理有限公司	
516060	创新药产业ETF	工银瑞信基金管理有限公司	
516070	碳中和50ETF	易方达基金管理有限公司	
516080	创新药ETF易方达	易方达基金管理有限公司	
516090	新能源ETF易方达	易方达基金管理有限公司	
516100	互联网金融ETF	华夏基金管理有限公司	
516110	汽车ETF	国泰基金管理有限公司	
516120	化工50ETF	富国基金管理有限公司	
516130	消费龙头ETF	华宝基金管理有限公司	
516150	稀土ETF基金	嘉实基金管理有限公司	
516160	新能源ETF	南方基金管理股份有限公司	
516180	光伏ETF平安	平安基金管理有限公司	
516190	文娱传媒ETF	华夏基金管理有限公司	
516200	证券行业ETF	华安基金管理有限公司	
516210	银行股ETF	华安基金管理有限公司	
516220	化工龙头ETF	国泰基金管理有限公司	
516260	物联网50ETF	华夏基金管理有限公司	
516270	新能源50ETF	华安基金管理有限公司	
516290	光伏ETF基金	汇添富基金管理股份有限公司	
516300	1000ETF基金	华泰柏瑞基金管理有限公司	
516310	银行ETF易方达	易方达基金管理有限公司	
516320	高端装备ETF	华夏基金管理有限公司	
516330	物联网ETF	华泰柏瑞基金管理有限公司	
516350	芯片50ETF	易方达基金管理有限公司	
516360	新材料ETF	华宝基金管理有限公司	
516380	智能电动车ETF	华宝基金管理有限公司	
516390	新能源汽车ETF	汇添富基金管理股份有限公司	
516480	新材料ETF基金	国联安基金管理有限公司	
516500	生物科技ETF	华夏基金管理有限公司	
516510	云计算ETF	易方达基金管理有限公司	
516520	智能驾驶ETF	华泰柏瑞基金管理有限公司	
516530	物流快递ETF	银华基金管理股份有限公司	
516550	农业ETF	嘉实基金管理有限公司	
516560	养老ETF	华宝基金管理有限公司	
516570	化工行业ETF	易方达基金管理有限公司	
516580	新能源主题ETF	博时基金管理有限公司	
516590	智能汽车50ETF	易方达基金管理有限公司	
516600	消费服务ETF	工银瑞信基金管理有限公司	
516610	医疗服务ETF	大成基金管理有限公司	
516620	影视ETF	国泰基金管理有限公司	
516630	云计算50ETF	华夏基金管理有限公司	
516640	芯片龙头ETF	富国基金管理有限公司	

基金代码	基金扩位简称	基金管理人	一级交易商名单
516650	有色50ETF	华夏基金管理有限公司	
516660	新能汽车ETF	华安基金管理有限公司	
516670	畜牧养殖ETF	招商基金管理有限公司	
516680	有色ETF基金	建信基金管理有限责任公司	
516690	化工产业ETF	银华基金管理股份有限公司	
516700	大数据产业ETF	华宝基金管理有限公司	
516710	新材料50ETF	华夏基金管理有限公司	
516720	ESGETF	浦银安盛基金管理有限公司	
516730	证券公司ETF	浦银安盛基金管理有限公司	
516750	建材ETF	富国基金管理有限公司	
516760	养殖ETF	平安基金管理有限公司	
516770	游戏动漫ETF	华泰柏瑞基金管理有限公司	
516780	稀土ETF	华泰柏瑞基金管理有限公司	
516790	医疗保健ETF	华泰柏瑞基金管理有限公司	
516800	智能制造ETF	华宝基金管理有限公司	
516810	农业50ETF	华夏基金管理有限公司	
516820	医疗创新ETF	平安基金管理有限公司	
516830	300ESGETF	富国基金管理有限公司	
516850	新能源80ETF	华夏基金管理有限公司	
516860	金融科技ETF	博时基金管理有限公司	
516880	光伏50ETF	银华基金管理股份有限公司	
516890	新材料ETF平安	平安基金管理有限公司	
516900	食品50ETF	华安基金管理有限公司	
516910	物流ETF	富国基金管理有限公司	
516920	芯片ETF基金	汇添富基金管理股份有限公司	
516930	生物科技ETF基金	民生加银基金管理有限公司	
516950	基建ETF	银华基金管理股份有限公司	
516960	机械ETF	国泰基金管理有限公司	
516970	基建50ETF	广发基金管理有限公司	
